"","dayDiff","personCount"
"1",0,337561
"2",1,10268
"3",2,11038
"4",3,10006
"5",4,8949
"6",5,6644
"7",6,5803
"8",7,5641
"9",8,4762
"10",9,3687
"11",10,3001
"12",11,2457
"13",12,2029
"14",13,1848
"15",14,1853
"16",15,1456
"17",16,1257
"18",17,1119
"19",18,1065
"20",19,538
"21",20,792
"22",21,713
"23",22,660
"24",23,500
"25",24,566
"26",25,409
"27",26,461
"28",27,377
"29",28,317
"30",29,335
"31",30,343
"32",31,251
"33",32,319
"34",33,420
"35",34,249
"36",35,95
"37",36,273
"38",37,197
"39",38,341
"40",39,208
"41",40,139
"42",41,151
"43",42,304
"44",43,92
"45",44,134
"46",45,119
"47",46,96
"48",47,261
"49",48,289
"50",49,78
"51",50,110
"52",51,62
"53",52,65
"54",53,102
"55",54,160
"56",55,38
"57",56,67
"58",57,22
"59",58,73
"60",59,49
"61",60,36
"62",61,150
"63",62,187
"64",63,134
"65",64,25
"66",65,91
"67",66,10
"68",67,13
"69",68,55
"70",69,47
"71",70,12
"72",71,60
"73",72,34
"74",73,44
"75",74,27
"76",75,16
"77",76,12
"78",77,18
"79",78,16
"80",79,73
"81",80,9
"82",81,50
"83",82,22
"84",83,46
"85",84,48
"86",85,68
"87",86,5
"88",87,10
"89",88,42
"90",89,7
"91",90,19
"92",92,27
"93",93,6
"94",94,10
"95",98,24
"96",99,50
"97",100,2
"98",101,12
"99",102,11
"100",103,18
"101",104,50
"102",106,7
"103",107,35
"104",108,4
"105",109,12
"106",110,51
"107",111,13
"108",112,8
"109",114,26
"110",115,19
"111",116,30
"112",117,10
"113",119,27
"114",120,20
"115",127,18
"116",128,10
"117",133,8
"118",137,5
"119",142,16
"120",144,14
"121",148,12
"122",149,30
"123",156,6
"124",157,5
"125",159,9
"126",163,3
"127",171,34
"128",180,16
"129",182,8
"130",190,24
"131",192,9
"132",207,9
"133",248,60
"134",252,16
"135",280,15
"136",305,24
"137",331,13
