"","ageRange","genderConceptId","ratio"
"1","0~4","8507","1"
"2","0~4","8532","0.8"
"3","1~5","8507","0.8"
"4","1~5","8532","0.5"
"5","2~6","8507","0.4"
"6","2~6","8532","0.3"
"7","3~7","8507","0.2"
"8","3~7","8532","0.2"
"9","4~8","8507","0.2"
"10","4~8","8532","0.2"
"11","5~9","8507","0.2"
"12","5~9","8532","0.2"
"13","6~10","8507","0.2"
"14","6~10","8532","0.1"
"15","7~11","8507","0.3"
"16","7~11","8532","0.2"
"17","8~12","8507","0.2"
"18","8~12","8532","0.2"
"19","9~13","8507","0.1"
"20","9~13","8532","0.2"
"21","10~14","8507","0.2"
"22","10~14","8532","0.1"
"23","11~15","8507","0.1"
"24","11~15","8532","0.1"
"25","12~16","8507","0.2"
"26","12~16","8532","0.1"
"27","13~17","8507","0.3"
"28","13~17","8532","0.2"
"29","14~18","8507","0.1"
"30","14~18","8532","0.1"
"31","15~19","8507","0.2"
"32","15~19","8532","0.1"
"33","16~20","8507","0.2"
"34","16~20","8532","0.2"
"35","17~21","8507","0.2"
"36","17~21","8532","0.2"
"37","18~22","8507","0.2"
"38","18~22","8532","0.1"
"39","19~23","8507","0.3"
"40","19~23","8532","0.2"
"41","20~24","8507","0.5"
"42","20~24","8532","0.2"
"43","21~25","8507","0.5"
"44","21~25","8532","0.5"
"45","22~26","8507","0.4"
"46","22~26","8532","0.5"
"47","23~27","8507","0.4"
"48","23~27","8532","1.6"
"49","24~28","8507","0.5"
"50","24~28","8532","1.1"
"51","25~29","8507","0.7"
"52","25~29","8532","0.7"
"53","26~30","8507","0.7"
"54","26~30","8532","0.7"
"55","27~31","8507","0.7"
"56","27~31","8532","0.8"
"57","28~32","8507","0.4"
"58","28~32","8532","0.9"
"59","29~33","8507","0.6"
"60","29~33","8532","0.8"
"61","30~34","8507","0.5"
"62","30~34","8532","0.6"
"63","31~35","8507","0.5"
"64","31~35","8532","0.8"
"65","32~36","8507","0.5"
"66","32~36","8532","0.6"
"67","33~37","8507","0.6"
"68","33~37","8532","0.7"
"69","34~38","8507","0.5"
"70","34~38","8532","0.9"
"71","35~39","8507","0.6"
"72","35~39","8532","0.7"
"73","36~40","8507","0.5"
"74","36~40","8532","0.6"
"75","37~41","8507","0.6"
"76","37~41","8532","0.6"
"77","38~42","8507","0.6"
"78","38~42","8532","0.8"
"79","39~43","8507","0.5"
"80","39~43","8532","0.7"
"81","40~44","8507","0.6"
"82","40~44","8532","0.9"
"83","41~45","8507","0.6"
"84","41~45","8532","0.6"
"85","42~46","8507","0.6"
"86","42~46","8532","0.7"
"87","43~47","8507","0.6"
"88","43~47","8532","0.7"
"89","44~48","8507","0.5"
"90","44~48","8532","0.8"
"91","45~49","8507","0.7"
"92","45~49","8532","0.7"
"93","46~50","8507","0.5"
"94","46~50","8532","0.8"
"95","47~51","8507","0.7"
"96","47~51","8532","0.7"
"97","48~52","8507","0.7"
"98","48~52","8532","0.7"
"99","49~53","8507","0.7"
"100","49~53","8532","1"
"101","50~54","8507","0.8"
"102","50~54","8532","1"
"103","51~55","8507","0.8"
"104","51~55","8532","0.9"
"105","52~56","8507","0.8"
"106","52~56","8532","0.8"
"107","53~57","8507","0.7"
"108","53~57","8532","0.7"
"109","54~58","8507","0.9"
"110","54~58","8532","0.8"
"111","55~59","8507","0.8"
"112","55~59","8532","0.9"
"113","56~60","8507","0.9"
"114","56~60","8532","0.7"
"115","57~61","8507","0.7"
"116","57~61","8532","0.7"
"117","58~62","8507","0.9"
"118","58~62","8532","0.8"
"119","59~63","8507","1.2"
"120","59~63","8532","0.7"
"121","60~64","8507","1"
"122","60~64","8532","0.7"
"123","61~65","8507","0.8"
"124","61~65","8532","0.7"
"125","62~66","8507","0.9"
"126","62~66","8532","0.6"
"127","63~67","8507","1.1"
"128","63~67","8532","0.4"
"129","64~68","8507","0.9"
"130","64~68","8532","0.7"
"131","65~69","8507","1"
"132","65~69","8532","0.7"
"133","66~70","8507","0.9"
"134","66~70","8532","0.5"
"135","67~71","8507","0.7"
"136","67~71","8532","0.6"
"137","68~72","8507","1"
"138","68~72","8532","0.6"
"139","69~73","8507","0.8"
"140","69~73","8532","0.5"
"141","70~74","8507","1"
"142","70~74","8532","0.6"
"143","71~75","8507","0.7"
"144","71~75","8532","0.5"
"145","72~76","8507","0.7"
"146","72~76","8532","0.8"
"147","73~77","8507","0.6"
"148","73~77","8532","0.4"
"149","74~78","8507","0.8"
"150","74~78","8532","0.5"
"151","75~79","8507","0.7"
"152","75~79","8532","0.4"
"153","76~80","8507","0.7"
"154","76~80","8532","0.6"
"155","77~81","8507","0.8"
"156","77~81","8532","0.5"
"157","78~82","8507","0.7"
"158","78~82","8532","0.6"
"159","79~83","8507","0.5"
"160","79~83","8532","0.5"
"161","80~84","8507","0.6"
"162","80~84","8532","0.4"
"163","81~85","8507","0.6"
"164","81~85","8532","0.4"
"165","82~86","8507","0.4"
"166","82~86","8532","0.3"
"167","83~87","8507","0.4"
"168","83~87","8532","0.3"
"169","84~88","8507","0.3"
"170","84~88","8532","0.3"
"171","85~89","8507","0.3"
"172","85~89","8532","0.3"
"173","86~90","8507","0.2"
"174","86~90","8532","0.3"
"175","87~91","8507","0.1"
"176","87~91","8532","0.2"
"177","88~92","8507","0.1"
"178","88~92","8532","0.1"
"179","89~93","8507","0.1"
"180","89~93","8532","0.2"
"181","90~94","8507","0.001"
"182","90~94","8532","0.2"
"183","91~95","8507","0.1"
"184","91~95","8532","0.1"
"185","92~96","8507","0.001"
"1851","92~96","8532","0.001"
"186","93~97","8507","0.001"
"187","93~97","8532","0.1"
"188","94~98","8507","0.001"
"189","94~98","8532","0.001"
"191","95~99","8507","0.001"
"190","95~99","8532","0.001"
"193","96~100","8507","0.001"
"1911","96~100","8532","0.001"
"195","97~101","8507","0.001"
"192","97~101","8532","0.001"
"197","98~102","8507","0.001"
"1931","98~102","8532","0.001"
"194","99~103","8507","0.001"
"1951","99~103","8532","0.001"
